second,idle_count,walking_count,total_count,light,red_violation,bus_waiting
0,0,0,0,unknown,False,False
1,0,0,0,unknown,False,False
2,0,0,0,unknown,False,False
3,0,0,0,unknown,False,False
4,0,0,0,unknown,False,False
5,0,0,0,unknown,False,False
6,0,0,0,unknown,False,False
7,0,0,0,unknown,False,False
8,0,0,0,unknown,False,False
9,0,0,0,unknown,False,False
10,1,0,1,unknown,False,False
11,1,0,1,unknown,False,False
12,0,0,0,unknown,False,False
13,0,0,0,unknown,False,False
14,0,0,0,unknown,False,False
15,0,0,0,unknown,False,False
16,0,0,0,unknown,False,False
17,1,0,1,unknown,False,False
18,1,0,1,unknown,False,False
19,0,0,0,unknown,False,False
20,1,0,1,unknown,False,False
21,0,0,0,unknown,False,False
22,1,0,1,unknown,False,False
23,0,0,0,unknown,False,False
24,0,0,0,unknown,False,False
25,0,0,0,unknown,False,False
26,0,0,0,unknown,False,False
27,0,0,0,unknown,False,False
28,0,0,0,unknown,False,False
29,0,0,0,unknown,False,False
30,0,0,0,unknown,False,False
31,0,0,0,unknown,False,False
32,0,0,0,unknown,False,False
33,0,0,0,unknown,False,False
34,0,0,0,unknown,False,False
35,0,0,0,unknown,False,False
36,0,0,0,unknown,False,False
37,0,0,0,unknown,False,False
38,0,0,0,unknown,False,False
39,0,0,0,unknown,False,False
40,0,0,0,unknown,False,False
41,0,0,0,unknown,False,False
42,0,0,0,unknown,False,False
43,0,0,0,unknown,False,False
44,0,0,0,unknown,False,False
45,0,0,0,unknown,False,False
46,1,0,1,unknown,False,False
47,0,0,0,unknown,False,False
48,0,0,0,unknown,False,False
49,0,0,0,unknown,False,False
50,0,0,0,unknown,False,False
51,0,0,0,unknown,False,False
52,0,0,0,unknown,False,False
53,1,0,1,unknown,False,False
54,0,0,0,unknown,False,False
55,0,0,0,unknown,False,False
56,0,0,0,unknown,False,False
57,0,0,0,unknown,False,False
58,1,0,1,unknown,False,False
59,1,0,1,unknown,False,False
60,1,0,1,unknown,False,False
61,2,0,2,unknown,False,False
62,1,0,1,unknown,False,False
63,1,0,1,unknown,False,False
64,1,0,1,unknown,False,False
65,0,0,0,unknown,False,False
66,0,0,0,red,False,False
67,0,0,0,unknown,False,False
68,0,0,0,yellow,False,False
69,0,0,0,unknown,False,False
70,0,0,0,unknown,False,False
71,0,0,0,unknown,False,False
72,0,0,0,unknown,False,False
73,0,0,0,unknown,False,False
74,0,0,0,unknown,False,False
75,0,0,0,unknown,False,False
76,1,0,1,unknown,False,False
77,0,0,0,unknown,False,False
78,0,0,0,unknown,False,False
79,0,0,0,unknown,False,False
80,0,0,0,unknown,False,False
81,0,0,0,unknown,False,False
82,0,0,0,unknown,False,False
83,0,0,0,unknown,False,False
84,0,0,0,unknown,False,False
85,0,0,0,unknown,False,False
86,0,0,0,unknown,False,False
87,0,0,0,unknown,False,False
88,0,0,0,unknown,False,False
89,0,0,0,unknown,False,False
90,0,0,0,unknown,False,False
91,0,0,0,green,False,False
92,0,0,0,yellow,False,False
93,0,0,0,unknown,False,False
94,0,0,0,unknown,False,False
95,0,0,0,unknown,False,False
96,0,0,0,unknown,False,False
97,0,0,0,unknown,False,False
98,0,0,0,unknown,False,False
99,0,0,0,unknown,False,False
100,0,0,0,unknown,False,False
101,0,0,0,unknown,False,False
102,0,0,0,unknown,False,False
103,0,0,0,unknown,False,False
104,0,0,0,unknown,False,False
105,0,0,0,unknown,False,False
106,0,0,0,yellow,False,False
107,0,0,0,green,False,False
108,0,0,0,unknown,False,False
109,0,0,0,unknown,False,False
110,1,0,1,unknown,False,False
111,1,0,1,unknown,False,False
112,0,0,0,unknown,False,False
113,0,0,0,unknown,False,False
114,0,0,0,red,False,False
115,0,0,0,unknown,False,False
116,0,0,0,unknown,False,False
117,0,0,0,unknown,False,False
118,0,0,0,unknown,False,False
119,0,0,0,unknown,False,False
120,0,0,0,unknown,False,False
121,0,0,0,unknown,False,False
122,2,0,2,unknown,False,False
123,1,0,1,unknown,False,False
124,1,0,1,green,False,True
125,3,0,3,green,False,False
126,3,0,3,red,False,False
127,2,0,2,green,False,False
128,2,0,2,green,False,True
129,2,0,2,green,False,False
130,2,0,2,green,False,True
131,1,0,1,green,False,False
132,1,0,1,green,False,False
133,1,0,1,green,False,False
134,1,0,1,green,False,False
135,2,0,2,green,False,True
136,2,0,2,red,False,True
137,2,0,2,green,False,True
138,2,0,2,green,False,False
139,2,0,2,red,False,False
140,2,0,2,red,False,False
141,2,0,2,red,False,False
142,3,0,3,red,False,False
143,1,0,1,red,False,False
144,2,0,2,green,False,True
145,3,0,3,green,False,True
146,2,0,2,green,False,False
