second,idle_count,walking_count,total_count,car_speed_mph,light,red_violation,bus_waiting
0,0,0,0,1.1245085619403152,unknown,False,False
1,0,0,0,1.074918362523308,unknown,False,False
2,0,0,0,0.9933693925574444,unknown,False,False
3,0,0,0,1.08887032735528,unknown,False,False
4,0,0,0,0.8120009710275073,unknown,False,False
5,0,0,0,0.5438881607909019,unknown,False,False
6,0,0,0,0.5077546708127946,unknown,False,False
7,0,0,0,0.4665732130892713,unknown,False,False
8,0,0,0,0.5166106118343858,unknown,False,False
9,0,0,0,0.46791842079262924,unknown,False,False
10,0,0,0,0.439714110213818,unknown,False,False
11,0,0,0,0.46099505782907696,unknown,False,False
12,0,0,0,0.28845648161996473,unknown,False,False
13,0,0,0,0.4307719367182616,unknown,False,False
14,0,0,0,0.946287453575623,unknown,False,False
15,0,0,0,1.104222491061265,unknown,False,False
16,0,0,0,1.2266805856261307,unknown,False,False
17,0,0,0,0.9539684774872977,unknown,False,False
18,0,0,0,1.0019788846490838,unknown,False,False
19,0,0,0,1.0354644666504114,unknown,False,False
20,0,0,0,1.101975813938194,unknown,False,False
21,0,0,0,1.1440457746009076,unknown,False,False
22,1,0,1,0.5651969994128568,unknown,False,False
23,1,0,1,0.3939898855425483,unknown,False,False
24,1,0,1,0.31471620622970053,unknown,False,False
25,1,0,1,0.3401462223384511,unknown,False,False
26,1,0,1,0.27640084439549034,unknown,False,False
27,1,0,1,0.33939642890196137,unknown,False,False
28,1,0,1,0.2780961891925791,unknown,False,False
29,1,0,1,0.19911118461547236,unknown,False,False
30,1,0,1,0.193132716173605,unknown,False,False
31,1,0,1,0.27198781476400147,unknown,False,False
32,1,0,1,0.5223868811283469,unknown,False,False
33,1,0,1,0.4627843254487366,unknown,False,False
34,0,0,0,0.41027415084427105,unknown,False,False
35,0,0,0,0.41072486266166885,unknown,False,False
36,0,0,0,0.4843118365004604,unknown,False,False
37,0,0,0,0.5348915265077057,unknown,False,False
38,0,0,0,0.577551150332664,unknown,False,False
39,0,0,0,0.6176705694772714,unknown,False,False
40,1,0,1,0.7509146394374535,unknown,False,False
41,0,1,1,0.6378180844596142,unknown,False,False
42,2,0,2,0.6016745113061346,unknown,False,False
43,2,0,2,0.6980960340945574,unknown,False,False
44,2,0,2,1.3795104946483934,unknown,False,False
45,0,0,0,0.7212883249569827,unknown,False,False
46,0,0,0,0.9086470320808774,yellow,False,False
47,0,0,0,1.6625000548222315,yellow,False,False
48,0,0,0,1.456952336393196,yellow,False,False
49,0,0,0,0.33695810608787313,red,False,True
50,0,0,0,0.29948865745911274,red,False,True
51,0,0,0,0.31262070769095585,red,False,True
52,0,0,0,0.31655006963325377,red,False,True
53,0,0,0,0.46238572442310966,red,False,True
54,0,0,0,0.48996284309973914,red,False,True
55,0,0,0,0.47112716389940107,green,False,True
56,0,0,0,0.7951491819671765,unknown,False,False
57,0,0,0,1.1859959168051288,unknown,False,False
58,0,0,0,1.396038831752494,unknown,False,False
59,0,0,0,0.5954140890546968,unknown,False,False
60,0,0,0,0.8754328359798741,unknown,False,False
61,0,0,0,2.0224703646542523,unknown,False,False
62,0,0,0,0.8677107255124897,unknown,False,False
63,0,0,0,0.36858643620954257,unknown,False,False
64,0,0,0,0.23685005877239812,unknown,False,False
65,0,0,0,0.3414567544272653,unknown,False,False
66,0,0,0,0.27187519665516474,red,False,False
67,0,1,1,0.7396637614579064,unknown,False,False
68,1,0,1,0.0,unknown,False,False
69,1,0,1,0.0,unknown,False,False
70,0,0,0,0.0,red,False,False
71,0,0,0,0.7211774995649887,red,False,False
72,0,0,0,0.7390267865216622,red,False,False
73,0,0,0,0.8389945452901852,unknown,False,False
74,0,0,0,0.9097483112500675,unknown,False,True
75,0,0,0,0.8480842602716333,unknown,False,False
76,0,0,0,0.0,unknown,False,False
77,0,0,0,0.0,red,False,False
78,2,0,2,0.0,red,False,False
79,2,0,2,0.1834201992070515,unknown,False,True
80,2,0,2,0.13469968752542838,red,False,False
81,1,0,1,0.2634539825987488,unknown,False,False
82,0,0,0,0.23874581737868886,unknown,False,False
83,0,0,0,0.0,unknown,False,False
84,0,0,0,0.0,unknown,False,False
85,2,0,2,0.0,unknown,False,False
86,2,0,2,0.07963965170652153,unknown,False,False
87,2,0,2,0.43141305081374004,red,False,False
88,1,0,1,0.8649815807180901,red,False,False
89,1,0,1,1.1680727358555598,red,False,False
90,1,0,1,0.6181020682194317,red,False,False
91,1,0,1,0.32351754797547133,red,False,False
